pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,Data_Type
6.52,548.28,356.37,231.22,113.73,38.51,16.08,29.9,14.4,0.118,43.12,116.52,27.55,61.2,0.202,5.76,10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.357930836038527,85.76309651496767,Postmonsoon,Synthetic_Clean
5.77,454.08,295.16,113.7,10.0,54.28,1.0,25.62,5.69,0.245,86.28,48.91,21.84,36.01,0.01,4.85,11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.39780941714904,85.79897658338251,Postmonsoon,Synthetic_Clean
5.96,365.21,237.37,213.35,91.53,18.18,6.05,29.19,5.12,0.176,21.16,55.54,17.97,83.4,0.191,5.81,12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.23962847758772,85.8317173125614,Postmonsoon,Synthetic_Clean
6.34,599.7,389.8,228.2,106.09,62.99,11.05,26.47,15.27,0.277,29.3,158.69,15.05,51.06,0.165,6.67,13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.29256925876328,85.82950613340243,Postmonsoon,Synthetic_Clean
5.91,359.12,233.42,113.07,55.9,19.71,10.0,25.9,7.12,0.176,36.04,60.35,27.6,38.52,0.093,5.81,14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.332811189893537,85.84433316335883,Postmonsoon,Synthetic_Clean
5.53,465.39,302.5,147.74,84.51,47.85,7.77,21.54,5.63,0.075,37.26,116.21,24.91,28.37,0.07,6.34,15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.384376076808596,85.80112412435783,Postmonsoon,Synthetic_Clean
5.75,457.62,297.47,150.22,58.48,43.03,10.59,26.82,2.78,0.331,37.01,118.51,22.07,34.42,0.159,6.57,16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.344632043253505,85.79224430844542,Postmonsoon,Synthetic_Clean
6.37,354.91,230.68,147.35,49.95,40.65,19.83,2.0,0.5,0.515,126.91,25.86,5.73,0.5,0.138,6.69,17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.33225498069294,85.78227532702377,Postmonsoon,Synthetic_Clean
5.25,441.6,287.04,127.72,36.08,41.26,4.24,27.03,6.08,0.389,114.06,21.08,26.91,31.43,0.102,5.79,18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.31624754764708,85.78915208814739,Postmonsoon,Synthetic_Clean
6.06,412.67,268.22,96.64,38.94,23.26,7.99,26.72,11.46,0.491,44.51,67.7,28.59,40.81,0.119,6.11,19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.307097483212974,85.85622674080317,Postmonsoon,Synthetic_Clean
5.39,289.75,188.33,63.49,49.77,6.61,1.0,23.97,7.76,0.269,10.0,87.66,28.71,70.29,0.028,6.51,20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.36417931729635,85.80472451649929,Postmonsoon,Synthetic_Clean
6.01,291.82,189.67,40.42,10.0,19.19,7.79,12.53,0.63,0.553,50.29,49.95,16.25,14.65,0.044,6.24,21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.31865810321165,85.82405833577037,Postmonsoon,Synthetic_Clean
6.11,568.94,369.81,203.16,54.7,59.32,18.63,20.53,4.21,0.379,149.81,68.19,17.47,12.06,0.208,6.7,22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.36090268431644,85.8207869065766,Postmonsoon,Synthetic_Clean
5.37,428.97,278.84,159.4,119.66,34.38,5.76,22.07,10.38,0.339,10.0,123.82,26.59,43.72,0.122,6.89,23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.335373153873302,85.86510745664418,Postmonsoon,Synthetic_Clean
5.63,535.73,348.21,209.47,78.89,47.09,7.64,27.25,6.47,0.198,81.25,99.38,23.72,40.16,0.171,4.93,24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.302800389287015,85.86314075715786,Postmonsoon,Synthetic_Clean
6.67,448.35,291.44,176.03,67.63,35.49,23.4,16.93,5.99,0.343,98.11,68.1,15.47,11.82,0.202,6.29,25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.357208155522432,85.86599478373005,Postmonsoon,Synthetic_Clean
5.6,571.54,371.49,164.32,37.42,60.22,5.75,33.36,11.29,0.217,28.03,173.78,17.41,29.65,0.081,6.89,26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.292507151880475,85.81296409276032,Postmonsoon,Synthetic_Clean
5.01,482.65,313.74,188.89,31.09,65.67,1.0,11.79,7.82,0.391,118.17,56.1,9.49,14.88,0.019,7.21,27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.3525021241559,85.80884471576137,Postmonsoon,Synthetic_Clean
6.67,521.56,339.02,287.56,73.8,43.71,19.65,15.42,1.13,0.295,156.85,37.56,4.05,37.82,0.312,5.59,28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.32548783662668,85.78473398405933,Postmonsoon,Synthetic_Clean
6.01,357.72,232.51,170.56,44.85,41.83,8.83,9.28,4.67,0.035,60.22,49.86,11.63,25.09,0.01,6.75,29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.271090032144457,85.81412793228255,Postmonsoon,Synthetic_Clean
6.69,362.34,235.51,69.5,60.37,20.48,15.04,20.84,7.79,0.608,35.39,64.41,19.66,31.17,0.172,6.52,30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.323354186592603,85.81219844466922,Postmonsoon,Synthetic_Clean
6.36,492.93,320.4,216.49,15.12,36.32,8.99,30.47,9.04,0.251,127.12,14.62,22.36,59.35,0.216,5.08,31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.323236110349416,85.8244369709505,Postmonsoon,Synthetic_Clean
5.96,407.51,264.91,58.13,73.27,38.72,3.89,28.09,8.63,0.394,10.0,128.2,30.46,50.75,0.066,6.56,32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.33403325626194,85.83788177643986,Postmonsoon,Synthetic_Clean
6.2,412.21,267.92,109.67,36.17,26.13,9.5,24.7,10.08,0.238,65.21,54.41,24.05,35.05,0.079,5.66,33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.30788710365399,85.81542805737531,Postmonsoon,Synthetic_Clean
5.5,569.34,370.06,225.27,97.76,79.76,8.55,23.56,7.69,0.01,92.68,93.1,23.49,28.43,0.052,5.7,34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.279540367334555,85.82425239054297,Postmonsoon,Synthetic_Clean
5.61,338.63,220.13,122.72,14.69,38.6,5.02,3.26,0.5,0.507,104.01,34.28,2.98,6.48,0.068,6.72,35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.3241804461469,85.82057747306871,Postmonsoon,Synthetic_Clean
6.22,554.02,360.08,169.18,69.91,49.11,12.15,32.22,9.0,0.519,90.74,88.67,22.76,45.06,0.238,5.29,36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.29803326684203,85.8450933877585,Postmonsoon,Synthetic_Clean
5.74,574.95,373.71,214.79,69.97,64.6,11.38,19.05,10.95,0.364,105.6,106.52,16.61,17.69,0.115,6.62,37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.272928697797855,85.86437257030873,Postmonsoon,Synthetic_Clean
6.15,727.93,473.14,298.58,84.66,85.38,12.56,35.61,16.42,0.375,133.61,96.69,23.69,52.78,0.247,6.03,38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.26752687728791,85.86916354667716,Postmonsoon,Synthetic_Clean
6.43,538.54,350.03,161.28,76.67,41.39,13.78,34.91,11.11,0.277,53.11,105.39,28.28,49.23,0.207,5.5,39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.3116980934268,85.81419552773367,Postmonsoon,Synthetic_Clean
5.64,506.57,329.27,212.17,10.0,64.26,1.21,23.25,8.27,0.373,142.76,13.25,19.64,44.86,0.065,5.33,40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.29110693507965,85.77393564681655,Postmonsoon,Synthetic_Clean
6.01,324.44,210.89,88.57,49.22,20.44,8.62,24.64,0.5,0.278,39.1,48.56,21.41,42.34,0.132,5.79,41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.29294155977551,85.78386852587936,Postmonsoon,Synthetic_Clean
6.18,525.76,341.74,223.51,51.21,48.1,13.98,21.64,6.36,0.554,145.05,52.82,1.0,28.3,0.25,6.5,42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.33144461760267,85.8048360305654,Postmonsoon,Synthetic_Clean
5.4,507.5,329.87,122.2,44.39,40.04,2.99,38.05,10.37,0.343,72.9,67.35,35.78,48.99,0.137,5.47,43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.342180466173698,85.79362015206793,Postmonsoon,Synthetic_Clean
5.31,540.12,351.07,220.85,84.35,57.21,13.26,18.8,8.27,0.246,96.68,104.48,24.74,9.33,0.127,6.57,44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.355486019076544,85.82522668484391,Postmonsoon,Synthetic_Clean
5.01,376.99,245.05,161.82,29.21,32.48,1.01,20.95,9.77,0.301,72.0,50.28,14.98,28.11,0.031,6.24,45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.276913152980228,85.81301305689867,Postmonsoon,Synthetic_Clean
5.98,463.2,301.1,102.3,117.55,40.94,9.93,27.01,8.11,0.248,10.0,120.58,33.82,43.34,0.114,5.69,46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.286138585740307,85.79289707595014,Postmonsoon,Synthetic_Clean
5.81,461.28,299.84,196.19,74.16,30.91,20.11,22.68,4.81,0.192,58.27,119.89,27.45,14.22,0.23,6.39,47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.316099507098553,85.84011773489696,Postmonsoon,Synthetic_Clean
5.18,337.87,219.6,125.51,21.54,26.86,1.0,24.86,4.45,0.115,84.46,16.45,13.95,35.06,0.01,5.14,48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.356624353883674,85.8231447344097,Postmonsoon,Synthetic_Clean
5.94,460.49,299.32,209.23,70.08,46.27,15.44,22.44,4.08,0.145,114.78,42.88,14.91,26.25,0.167,6.1,49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.362046410839163,85.86709201854066,Postmonsoon,Synthetic_Clean
5.84,263.09,171.0,52.52,10.0,16.68,5.8,15.97,0.5,0.325,54.17,24.8,17.62,22.48,0.052,6.1,50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.351968786331767,85.82292625982957,Postmonsoon,Synthetic_Clean
