pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,Data_Type
6.48,516.38,241.61,155.8,84.93,5.0,21.24,23.32,12.2,0.359,50.97,71.08,29.71,27.29,0.165,5.66,13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.29256925876328,85.82950613340243,Postmonsoon,Synthetic
6.09,409.46,317.88,279.78,124.78,11.07,8.08,28.03,7.23,0.235,15.43,116.3,17.24,25.08,0.078,5.8,14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.332811189893537,85.84433316335883,Postmonsoon,Synthetic
6.21,498.43,289.27,183.88,49.71,35.23,15.62,39.66,14.65,0.01,10.0,124.22,23.23,42.19,0.123,5.16,15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.384376076808596,85.80112412435783,Postmonsoon,Synthetic
6.16,598.05,355.4,279.26,55.2,72.69,19.15,29.47,16.18,0.263,91.85,113.56,24.21,10.0,0.081,5.54,16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.344632043253505,85.79224430844542,Postmonsoon,Synthetic
5.69,572.41,321.36,27.18,13.02,34.16,1.0,36.63,9.08,0.721,42.54,39.81,36.78,63.27,0.044,4.06,17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.33225498069294,85.78227532702377,Postmonsoon,Synthetic
5.81,505.23,364.88,275.28,75.5,52.24,2.25,25.33,8.65,0.168,28.18,141.18,20.1,75.72,0.109,5.63,18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.31624754764708,85.78915208814739,Postmonsoon,Synthetic
5.21,374.79,224.85,135.29,10.0,33.01,11.91,9.86,4.01,0.479,84.19,69.24,1.0,0.5,0.01,8.46,19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.307097483212974,85.85622674080317,Postmonsoon,Synthetic
5.12,329.19,153.84,74.03,44.36,18.31,1.0,27.59,5.08,0.316,17.68,23.73,13.73,44.01,0.231,5.78,20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.36417931729635,85.80472451649929,Postmonsoon,Synthetic
6.01,554.54,324.97,133.54,85.78,41.2,14.78,18.4,15.17,0.145,16.44,94.61,37.66,67.38,0.179,7.39,21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.31865810321165,85.82405833577037,Postmonsoon,Synthetic
6.05,508.27,363.95,168.62,10.0,26.5,9.96,23.88,4.05,0.311,99.8,51.0,36.05,39.02,0.092,3.99,22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.36090268431644,85.8207869065766,Postmonsoon,Synthetic
5.67,572.6,338.24,269.49,38.43,67.74,16.5,19.06,10.09,0.485,132.74,76.41,9.11,12.22,0.217,6.46,23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.335373153873302,85.86510745664418,Postmonsoon,Synthetic
5.65,420.48,243.51,51.89,49.0,20.35,5.03,17.45,4.3,0.539,62.44,58.7,30.09,15.94,0.01,6.05,24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.302800389287015,85.86314075715786,Postmonsoon,Synthetic
5.98,442.84,198.72,76.95,112.41,35.2,11.11,31.0,8.9,0.186,31.04,90.57,21.67,9.72,0.138,5.65,25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.357208155522432,85.86599478373005,Postmonsoon,Synthetic
6.47,572.98,429.48,207.64,50.62,72.38,7.91,34.05,13.32,0.721,52.85,159.65,19.69,38.87,0.243,6.39,26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.292507151880475,85.81296409276032,Postmonsoon,Synthetic
5.13,294.38,272.83,144.82,64.14,57.18,6.71,21.9,3.34,0.055,71.04,80.69,24.59,2.18,0.01,6.02,27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.3525021241559,85.80884471576137,Postmonsoon,Synthetic
5.42,560.89,289.56,173.76,101.99,45.47,1.0,17.47,7.95,0.239,42.48,123.64,17.58,33.48,0.111,6.7,28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.32548783662668,85.78473398405933,Postmonsoon,Synthetic
6.21,327.67,203.55,54.67,10.0,41.1,3.9,16.36,6.31,0.616,63.98,77.07,22.52,48.93,0.01,6.69,29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.271090032144457,85.81412793228255,Postmonsoon,Synthetic
6.91,254.38,201.09,67.1,46.94,6.07,24.54,13.1,0.63,0.375,10.0,72.56,24.35,24.14,0.066,6.82,30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.323354186592603,85.81219844466922,Postmonsoon,Synthetic
6.3,359.45,291.43,190.59,10.0,37.53,14.26,26.21,0.76,0.217,111.99,35.73,17.72,27.84,0.07,6.08,31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.323236110349416,85.8244369709505,Postmonsoon,Synthetic
6.64,576.21,311.76,144.94,10.0,33.73,13.43,23.29,9.35,0.462,116.05,72.88,15.64,12.59,0.305,4.29,32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.33403325626194,85.83788177643986,Postmonsoon,Synthetic
5.24,469.13,388.23,178.22,19.64,34.25,1.0,28.41,7.68,0.473,45.84,120.89,15.08,33.72,0.178,6.26,33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.30788710365399,85.81542805737531,Postmonsoon,Synthetic
6.12,324.3,246.47,178.38,66.34,30.8,18.67,22.12,0.5,0.01,85.86,28.16,14.2,12.44,0.19,4.65,34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.279540367334555,85.82425239054297,Postmonsoon,Synthetic
5.75,494.42,347.02,249.26,48.81,45.88,15.16,28.82,6.53,0.177,76.25,104.9,6.01,60.42,0.289,6.72,35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.3241804461469,85.82057747306871,Postmonsoon,Synthetic
5.62,374.69,294.93,55.71,92.85,23.02,6.17,15.95,8.7,0.466,10.0,109.36,25.1,37.17,0.073,6.51,36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.29803326684203,85.8450933877585,Postmonsoon,Synthetic
5.26,422.64,197.63,156.93,30.38,49.53,2.22,19.95,2.65,0.024,58.48,116.6,14.12,12.92,0.01,5.0,37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.272928697797855,85.86437257030873,Postmonsoon,Synthetic
5.64,441.96,288.17,222.25,54.44,52.79,6.11,28.88,7.98,0.01,57.63,106.72,9.11,34.48,0.175,6.16,38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.26752687728791,85.86916354667716,Postmonsoon,Synthetic
5.94,326.62,190.12,87.24,10.0,33.61,3.22,17.65,0.64,0.672,58.99,11.65,12.78,28.1,0.01,5.6,39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.3116980934268,85.81419552773367,Postmonsoon,Synthetic
6.44,434.97,311.17,191.32,55.66,43.97,9.76,15.41,9.65,0.264,29.08,133.85,6.82,36.24,0.13,6.2,40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.29110693507965,85.77393564681655,Postmonsoon,Synthetic
5.41,363.52,218.1,63.59,85.72,13.68,3.29,23.4,5.05,0.602,95.93,48.09,35.5,35.38,0.245,6.18,41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.29294155977551,85.78386852587936,Postmonsoon,Synthetic
5.7,468.99,412.16,225.47,53.77,57.27,9.22,14.06,6.45,0.01,100.94,125.02,17.19,13.1,0.01,5.99,42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.33144461760267,85.8048360305654,Postmonsoon,Synthetic
5.85,298.82,204.55,58.57,19.36,28.78,14.68,15.67,0.5,0.456,10.0,76.23,39.45,40.26,0.1,6.68,43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.342180466173698,85.79362015206793,Postmonsoon,Synthetic
6.28,573.33,359.25,278.2,30.52,46.96,27.77,29.64,4.56,0.471,111.65,49.09,4.41,15.29,0.204,5.74,44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.355486019076544,85.82522668484391,Postmonsoon,Synthetic
4.86,399.39,314.83,161.6,41.84,27.63,3.2,26.41,10.92,0.168,30.43,111.46,25.61,74.5,0.112,6.32,45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.276913152980228,85.81301305689867,Postmonsoon,Synthetic
5.37,241.12,236.21,105.03,15.06,42.62,7.95,11.67,5.36,0.209,65.72,123.74,21.82,4.15,0.01,6.74,46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.286138585740307,85.79289707595014,Postmonsoon,Synthetic
7.25,527.07,393.15,256.93,71.67,38.36,3.99,26.74,4.92,0.179,84.01,66.64,21.66,25.36,0.206,6.57,47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.316099507098553,85.84011773489696,Postmonsoon,Synthetic
5.71,464.58,314.25,222.5,59.78,16.15,15.11,20.66,15.57,0.269,65.45,72.91,14.14,32.92,0.164,6.62,48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.356624353883674,85.8231447344097,Postmonsoon,Synthetic
5.53,397.45,223.95,164.61,84.9,17.99,7.8,21.28,0.66,0.221,107.88,74.51,16.83,5.3,0.126,6.17,49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.362046410839163,85.86709201854066,Postmonsoon,Synthetic
6.63,278.51,303.35,60.49,26.5,49.55,8.59,9.48,6.59,0.095,129.09,57.25,24.61,3.5,0.01,6.21,50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.351968786331767,85.82292625982957,Postmonsoon,Synthetic
