Sl_No,Sites,Areas,Location_ID,Latitude,Longitude,Season,pH,EC,TDS,TH,Alkalinity,Ca,Mg,Na,K,Iron,HCO3,Cl,SO4,NO3,F,DO,Data_Type
23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.363142566184397,85.78400059266596,Monsoon,7.34,615.2,402.9,144.78,62.23,52.81,10.06,28.76,20.96,0.48,135.02,102.98,8.11,37.35,0.063,3.52,Synthetic
24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.307717376164526,85.77713100085046,Monsoon,5.56,615.02,395.53,124.93,48.64,39.58,10.2,64.62,16.3,0.202,88.15,77.79,30.37,40.94,0.242,5.88,Synthetic
25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.339452945410024,85.86473618855324,Monsoon,5.44,777.51,503.52,168.89,60.77,54.95,12.66,71.26,12.8,0.202,182.51,99.0,24.03,31.65,0.095,6.36,Synthetic
26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.29346626628838,85.85876270101323,Monsoon,6.95,526.65,342.59,154.52,62.21,47.12,12.08,13.29,12.16,0.476,133.69,95.76,15.78,0.5,0.166,4.82,Synthetic
27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.29468435637952,85.86400554949772,Monsoon,6.98,529.04,344.76,216.61,129.14,49.85,8.84,9.82,14.4,0.647,15.61,186.38,16.86,7.52,0.021,2.71,Synthetic
28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.34085872369301,85.85341921101747,Monsoon,5.67,665.62,434.65,210.13,51.8,61.94,11.47,43.94,5.63,0.247,111.3,129.52,17.88,26.36,0.034,3.71,Synthetic
29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.267263188893377,85.86920956904073,Monsoon,5.61,646.52,419.28,120.41,91.77,51.61,10.77,62.5,17.39,0.413,149.1,70.89,32.12,0.5,0.214,4.46,Synthetic
30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.338129632540365,85.80340364287194,Monsoon,6.04,591.12,380.51,124.81,75.46,46.67,7.13,51.08,6.18,0.099,95.7,108.04,19.38,27.14,0.081,7.3,Synthetic
31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.348401999819217,85.80108065317482,Monsoon,5.09,688.45,448.07,115.88,13.06,54.42,8.98,74.99,12.55,0.064,159.41,28.84,20.61,70.56,0.162,5.02,Synthetic
32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.352737917289943,85.78418657237452,Monsoon,6.07,599.37,387.62,168.33,126.95,41.63,9.41,60.83,21.77,0.51,65.23,130.72,34.6,11.89,0.046,4.76,Synthetic
33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.33583113107941,85.82699838099782,Monsoon,6.45,676.63,439.27,204.65,124.75,47.94,13.61,52.53,17.37,0.239,192.1,77.34,15.13,0.5,0.016,5.96,Synthetic
34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.275115980352876,85.79711791615921,Monsoon,6.26,540.08,351.21,116.19,102.23,52.5,8.92,31.82,8.01,0.446,160.03,57.5,18.67,0.5,0.183,4.72,Synthetic
35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.266702936961064,85.81980532987977,Monsoon,6.16,617.79,401.54,184.99,97.07,49.39,10.78,26.85,16.95,0.49,187.0,64.34,17.61,9.2,0.137,4.59,Synthetic
36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.29558905940933,85.8327642817631,Monsoon,5.66,695.81,454.83,204.1,76.85,59.77,9.54,54.27,10.03,0.308,127.58,122.11,15.4,48.06,0.01,2.6,Synthetic
37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.295186314104193,85.80292044448403,Monsoon,7.22,725.25,472.68,203.09,119.08,53.35,12.48,38.28,20.33,0.468,184.39,123.04,5.82,25.08,0.01,2.33,Synthetic
38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.339781853206492,85.77774281693117,Monsoon,6.44,569.31,368.64,154.78,118.23,34.07,8.82,47.88,23.28,0.319,178.66,34.16,16.5,18.3,0.1,6.13,Synthetic
39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.35575203285253,85.85815492077245,Monsoon,7.15,661.27,430.28,248.87,66.15,61.5,10.94,29.4,26.69,0.316,170.85,64.37,20.72,25.38,0.175,3.97,Synthetic
40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.33224300165597,85.83225069034407,Monsoon,6.23,788.4,511.11,202.21,93.92,65.63,13.58,65.67,12.84,0.143,265.79,48.02,21.07,0.5,0.128,5.57,Synthetic
41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.354692783147296,85.79146155128619,Monsoon,5.98,562.62,368.45,201.61,38.95,65.32,8.96,21.24,0.5,0.386,32.84,158.87,17.93,27.84,0.054,3.01,Synthetic
42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.273359449552416,85.79687955032428,Monsoon,5.29,584.58,381.41,186.31,12.55,45.15,11.16,38.28,18.18,0.319,65.13,92.7,25.59,47.98,0.136,7.06,Synthetic
43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.34492036120335,85.77639556000598,Monsoon,6.15,605.8,392.79,65.64,78.73,45.52,7.48,43.52,12.34,0.456,127.93,104.97,16.38,31.54,0.082,5.59,Synthetic
44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.32374321684168,85.87247228495245,Monsoon,4.69,663.62,431.46,98.62,69.76,56.39,7.92,57.47,7.44,0.545,48.88,178.42,33.28,34.27,0.057,3.99,Synthetic
45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.351032142717084,85.82507310223768,Monsoon,5.75,527.98,344.27,3.4,67.32,36.19,5.96,45.92,13.25,0.324,133.27,48.46,7.39,39.16,0.15,4.79,Synthetic
46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.271826624261994,85.8560658847719,Monsoon,5.24,706.8,461.09,42.32,36.37,49.17,7.81,69.06,13.19,0.282,144.84,102.81,12.17,69.53,0.072,4.35,Synthetic
47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.325360384151054,85.78442183303927,Monsoon,5.6,658.15,425.05,162.49,17.49,65.62,8.6,63.66,0.5,0.01,125.8,87.44,25.05,44.46,0.115,4.68,Synthetic
48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.274848261815666,85.86389121527698,Monsoon,5.51,793.75,516.92,153.49,112.21,57.29,10.54,71.88,18.44,0.292,227.39,92.48,17.64,20.58,0.01,4.69,Synthetic
49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.33238255962714,85.855857213265,Monsoon,5.79,647.42,422.69,80.57,115.15,45.75,8.18,73.21,14.03,0.256,193.09,41.89,8.88,26.72,0.034,3.12,Synthetic
50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.353360423361558,85.83010576853816,Monsoon,6.16,674.92,439.63,52.41,100.6,52.59,10.16,51.45,11.68,0.315,181.29,86.78,8.64,0.5,0.054,7.35,Synthetic
1,Population Density,Acharya Vihar (Syn),SYN-PD-1,20.301846502070465,85.8247958866686,Postmonsoon,5.55,714.04,464.12,264.13,83.29,94.18,13.72,26.67,6.47,0.186,110.0,173.61,13.5,7.4,0.175,6.14,Synthetic
2,Population Density,Ram Mandir (Syn),SYN-PD-2,20.27901510007676,85.84421259614072,Postmonsoon,5.58,237.86,154.59,55.04,35.09,19.09,1.0,9.74,3.45,0.385,25.15,20.99,19.37,35.66,0.01,6.47,Synthetic
3,Population Density,Sailashree Vihar (Syn),SYN-PD-3,20.341336921923638,85.8039148781541,Postmonsoon,5.2,593.93,386.05,224.16,74.95,53.39,9.35,28.18,12.47,0.367,72.72,155.06,16.11,19.38,0.18,6.6,Synthetic
4,Population Density,OMFED Square (Syn),SYN-PD-4,20.323149255041532,85.82132916190068,Postmonsoon,6.76,325.9,211.85,153.09,75.43,8.49,17.54,21.55,2.53,0.449,22.2,73.71,5.84,50.79,0.257,7.09,Synthetic
5,Population Density,Old Town Bhubaneswar (Syn),SYN-PD-5,20.235425539325387,85.83590137842437,Postmonsoon,5.91,483.01,313.96,151.7,10.0,44.37,11.92,23.2,8.26,0.552,125.6,63.11,10.84,6.34,0.139,6.42,Synthetic
6,Industrial areas,Mancheswar Industrial Estate (Syn),SYN-IA-1,20.30580808132832,85.84953189284359,Postmonsoon,6.1,372.97,242.43,142.5,64.74,29.14,5.61,20.72,4.86,0.262,29.27,74.13,14.98,48.42,0.105,5.32,Synthetic
7,Industrial areas,Chandaka Industrial Estate (Syn),SYN-IA-2,20.349561757786468,85.8065120781136,Postmonsoon,5.57,308.58,200.58,144.54,47.6,35.15,1.0,12.68,0.57,0.085,50.54,29.12,11.7,40.76,0.01,5.96,Synthetic
8,Industrial areas,OMFED Industries (Syn),SYN-IA-3,20.325904131511315,85.81962783929627,Postmonsoon,5.7,337.86,219.61,194.2,67.02,36.08,13.84,2.0,0.5,0.255,104.5,43.58,1.0,0.5,0.087,7.72,Synthetic
9,Industrial areas,Rasulgarh (Syn),SYN-IA-4,20.302617472940486,85.86038604227672,Postmonsoon,6.05,596.64,387.81,293.87,75.85,54.44,8.24,29.84,11.24,0.21,100.24,78.22,22.52,70.7,0.235,5.81,Synthetic
10,Industrial areas,Anmol Industries Dabua (Syn),SYN-IA-5,20.36109718746376,85.76111949555238,Postmonsoon,6.25,460.79,299.5,160.52,58.7,38.38,12.61,30.46,6.51,0.362,81.13,44.59,29.28,50.71,0.204,5.55,Synthetic
11,"Dumping 
Yard",Bhuasuni Temple Area (Syn),SYN-DY-1,20.382764327667978,85.79226310127918,Postmonsoon,6.3,296.68,192.87,36.8,51.11,5.24,4.23,30.68,8.84,0.528,10.0,106.4,24.66,66.64,0.136,6.75,Synthetic
12,"Dumping 
Yard",Lingaraj Railway Station (Syn),SYN-DY-2,20.23424643322332,85.82618248082092,Postmonsoon,6.51,682.8,443.82,323.88,96.76,78.5,11.03,37.43,13.57,0.01,92.67,100.54,20.32,80.6,0.226,5.81,Synthetic
13,"Dumping 
Yard","BMC Micro 
Composting (Syn)",SYN-DY-3,20.290156162271455,85.8253759181263,Postmonsoon,5.83,411.89,267.7,169.35,66.32,31.16,12.18,15.4,5.64,0.357,68.89,73.0,23.0,24.33,0.114,6.24,Synthetic
14,"Dumping 
Yard",Gadakan Road (Syn),SYN-DY-4,20.326280100419538,85.83718156589877,Postmonsoon,5.65,350.29,227.7,94.88,52.92,27.49,7.31,19.59,5.17,0.267,40.46,56.75,25.31,31.31,0.059,6.56,Synthetic
15,"Dumping 
Yard",Daruthenga (Syn),SYN-DY-5,20.38488452913229,85.79883563258616,Postmonsoon,6.65,437.76,284.53,199.24,69.52,37.35,10.36,16.43,3.55,0.207,57.3,63.38,16.64,59.42,0.176,6.22,Synthetic
16,Synthetic Zone,Synthetic Area 1,SYN-X1,20.290789771685603,85.77392641099917,Postmonsoon,6.29,369.74,240.31,121.28,89.06,29.2,8.92,18.77,6.81,0.316,10.61,75.22,24.51,51.06,0.11,6.21,Synthetic
17,Synthetic Zone,Synthetic Area 2,SYN-X2,20.33780689956882,85.82649419326809,Postmonsoon,6.8,435.1,282.81,205.82,41.9,34.02,12.49,24.73,6.85,0.126,70.81,52.71,13.06,58.04,0.146,5.36,Synthetic
18,Synthetic Zone,Synthetic Area 3,SYN-X3,20.349074303654056,85.8550673696234,Postmonsoon,5.99,335.25,217.92,43.18,10.0,39.48,8.97,11.7,1.92,0.35,125.89,5.0,19.14,0.5,0.01,6.18,Synthetic
19,Synthetic Zone,Synthetic Area 4,SYN-X4,20.34979515011212,85.82143799933128,Postmonsoon,5.36,437.21,284.18,198.12,13.39,47.67,6.11,15.91,3.84,0.298,129.93,38.45,6.66,16.24,0.079,6.54,Synthetic
20,Synthetic Zone,Synthetic Area 5,SYN-X5,20.29882537291702,85.85208435359246,Postmonsoon,6.16,576.87,374.98,235.5,57.9,61.32,12.82,26.02,9.69,0.403,120.58,67.55,24.13,38.69,0.192,5.48,Synthetic
21,Synthetic Zone,Synthetic Area 6,SYN-X6,20.310591944636258,85.79127275297367,Postmonsoon,5.37,365.89,237.82,84.05,52.05,20.9,3.12,31.5,8.98,0.377,10.0,92.63,28.0,42.94,0.103,6.02,Synthetic
22,Synthetic Zone,Synthetic Area 7,SYN-X7,20.350959935289477,85.86118452101056,Postmonsoon,6.77,504.77,328.11,172.75,58.47,48.64,13.63,27.28,7.98,0.289,80.81,59.21,28.29,50.67,0.185,4.99,Synthetic
23,Synthetic Zone,Synthetic Area 8,SYN-X8,20.31209350894735,85.7804985060643,Postmonsoon,5.91,557.63,362.46,146.7,45.14,55.09,1.0,34.15,12.07,0.281,47.37,100.08,32.55,66.77,0.091,4.79,Synthetic
24,Synthetic Zone,Synthetic Area 9,SYN-X9,20.304245142325023,85.85328229927958,Postmonsoon,5.83,671.87,436.72,348.81,139.86,64.02,12.35,29.12,10.17,0.122,92.11,127.73,21.08,64.32,0.3,5.89,Synthetic
25,Synthetic Zone,Synthetic Area 10,SYN-X10,20.355639936187956,85.79327580758309,Postmonsoon,6.1,479.18,311.47,200.93,42.33,32.62,9.75,33.74,9.2,0.442,78.02,54.8,23.57,62.94,0.27,6.26,Synthetic
26,Synthetic Zone,Synthetic Area 11,SYN-X11,20.272159894535857,85.86066357864661,Postmonsoon,6.42,479.73,311.84,131.91,59.75,37.06,10.54,36.6,8.98,0.286,10.0,129.36,23.65,56.34,0.186,6.09,Synthetic
27,Synthetic Zone,Synthetic Area 12,SYN-X12,20.30440302723122,85.82710462976009,Postmonsoon,5.79,517.64,336.46,221.3,61.09,50.77,12.09,19.22,3.17,0.293,133.43,54.44,18.54,31.0,0.192,6.14,Synthetic
28,Synthetic Zone,Synthetic Area 13,SYN-X13,20.362269114538407,85.77958500612475,Postmonsoon,5.98,502.9,326.89,85.61,10.0,39.33,1.0,35.53,10.65,0.349,36.1,92.81,33.71,62.99,0.062,4.04,Synthetic
29,Synthetic Zone,Synthetic Area 14,SYN-X14,20.33029433407854,85.78033907559082,Postmonsoon,6.05,496.79,322.93,216.18,118.02,35.89,17.12,34.71,5.77,0.299,51.09,117.4,12.35,43.52,0.298,5.68,Synthetic
30,Synthetic Zone,Synthetic Area 15,SYN-X15,20.303009426179983,85.85330998785267,Postmonsoon,6.16,501.62,326.03,151.06,82.95,44.89,17.7,26.54,6.16,0.313,87.26,88.66,18.07,22.09,0.184,6.38,Synthetic
31,Synthetic Zone,Synthetic Area 16,SYN-X16,20.308809756608895,85.87264676872363,Postmonsoon,6.41,541.61,352.07,132.61,14.81,56.7,5.32,26.29,9.47,0.281,62.24,94.93,29.14,50.09,0.077,6.06,Synthetic
32,Synthetic Zone,Synthetic Area 17,SYN-X17,20.32136846182799,85.80504474859693,Postmonsoon,5.89,525.68,341.69,234.06,50.21,62.81,3.08,12.0,4.26,0.555,123.87,47.91,13.62,44.3,0.157,5.68,Synthetic
33,Synthetic Zone,Synthetic Area 18,SYN-X18,20.287473665923805,85.80798058676194,Postmonsoon,6.04,314.06,204.15,151.46,24.36,24.01,3.94,17.66,4.68,0.332,51.86,16.65,16.63,56.8,0.102,6.49,Synthetic
34,Synthetic Zone,Synthetic Area 19,SYN-X19,20.302715860709288,85.77979990110572,Postmonsoon,5.69,403.28,262.13,66.97,28.37,28.75,11.86,29.72,5.34,0.369,70.91,78.34,16.29,8.82,0.119,6.43,Synthetic
35,Synthetic Zone,Synthetic Area 20,SYN-X20,20.302419953276008,85.81935238530724,Postmonsoon,6.46,534.87,347.67,189.68,91.92,33.12,17.1,35.88,10.16,0.214,60.53,89.67,31.33,57.46,0.284,6.25,Synthetic
36,Synthetic Zone,Synthetic Area 21,SYN-X21,20.33773630855721,85.83860148180548,Postmonsoon,6.24,496.68,322.84,126.37,95.17,40.27,10.26,29.6,12.45,0.242,11.61,122.97,31.81,47.26,0.129,6.04,Synthetic
37,Synthetic Zone,Synthetic Area 22,SYN-X22,20.336339098856246,85.773764901521,Postmonsoon,6.38,544.57,353.98,240.34,78.93,53.54,11.57,26.96,5.13,0.256,87.98,84.29,13.11,56.42,0.228,5.64,Synthetic
38,Synthetic Zone,Synthetic Area 23,SYN-X23,20.287229273291384,85.83909696217331,Postmonsoon,6.49,418.82,272.23,100.48,10.0,32.71,10.51,30.21,5.93,0.162,91.16,31.21,27.1,36.11,0.078,4.76,Synthetic
39,Synthetic Zone,Synthetic Area 24,SYN-X24,20.313861470151306,85.77345988090016,Postmonsoon,5.05,625.85,406.81,228.74,35.12,78.32,1.66,23.51,14.44,0.478,88.96,144.82,10.01,19.98,0.065,7.51,Synthetic
40,Synthetic Zone,Synthetic Area 25,SYN-X25,20.345911997576515,85.85020949066237,Postmonsoon,6.41,353.12,229.54,61.1,41.52,26.71,11.2,19.62,4.31,0.373,10.0,114.5,12.64,20.96,0.057,6.19,Synthetic
41,Synthetic Zone,Synthetic Area 26,SYN-X26,20.320304449632687,85.77957486591096,Postmonsoon,6.54,628.53,408.57,245.81,29.84,62.14,20.04,26.57,9.3,0.549,151.72,97.04,5.6,17.45,0.252,6.42,Synthetic
42,Synthetic Zone,Synthetic Area 27,SYN-X27,20.34211403828659,85.83129989210646,Postmonsoon,6.33,569.93,370.47,217.6,107.81,68.38,16.07,18.11,4.84,0.219,61.75,144.29,10.15,25.06,0.156,6.48,Synthetic
43,Synthetic Zone,Synthetic Area 28,SYN-X28,20.343658531049126,85.84810323257291,Postmonsoon,6.17,486.43,316.18,132.35,32.6,45.73,12.24,27.78,10.51,0.281,89.03,64.29,26.75,26.46,0.088,5.74,Synthetic
44,Synthetic Zone,Synthetic Area 29,SYN-X29,20.345762740529114,85.82472933997379,Postmonsoon,5.97,460.45,299.29,271.45,69.67,47.97,6.5,18.16,6.39,0.217,91.7,36.89,15.03,63.6,0.166,6.12,Synthetic
45,Synthetic Zone,Synthetic Area 30,SYN-X30,20.279494985152684,85.8400442806713,Postmonsoon,5.61,403.27,262.13,67.08,59.39,32.32,3.96,30.53,8.6,0.348,12.57,95.96,26.91,36.24,0.075,5.82,Synthetic
46,Synthetic Zone,Synthetic Area 31,SYN-X31,20.32750991183853,85.84715385205324,Postmonsoon,4.92,370.08,240.54,24.33,52.76,27.98,1.0,24.34,5.8,0.362,10.0,137.96,24.84,17.2,0.01,6.86,Synthetic
47,Synthetic Zone,Synthetic Area 32,SYN-X32,20.282450633938407,85.79242605332335,Postmonsoon,5.2,477.58,310.43,187.11,54.62,41.55,9.69,20.92,5.79,0.323,83.36,117.89,7.7,5.0,0.116,6.37,Synthetic
48,Synthetic Zone,Synthetic Area 33,SYN-X33,20.354503485055265,85.84792631317853,Postmonsoon,6.38,484.13,314.69,147.79,67.81,57.45,18.13,10.35,0.5,0.43,127.85,66.97,8.54,0.5,0.173,5.85,Synthetic
49,Synthetic Zone,Synthetic Area 34,SYN-X34,20.356285382203364,85.84880006544972,Postmonsoon,6.13,469.92,305.46,188.79,66.18,36.31,6.32,33.34,6.55,0.01,89.08,17.11,36.46,72.43,0.163,3.86,Synthetic
50,Synthetic Zone,Synthetic Area 35,SYN-X35,20.325178063932363,85.83834180703612,Postmonsoon,6.71,478.21,310.85,217.23,65.1,41.39,10.73,21.12,6.84,0.267,58.77,73.78,15.66,60.3,0.18,5.91,Synthetic
